region,where_you_work,current_work_area,salaried_hourly,feel_like_owner,owner_feel_job_impact,what_else_feels_like_owner,increase_sense_of_ownership,owner_sense_job_impact,psp_most_important_part,psp_most_confusing_part
7,3,5,s,yes,makes me feel pride,The way the Butt family makes partners feel like family.,,,Net Return on Investment because it represents how the company performed that year.,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,,,,,,,
7,3,5,s,Yes,It provides a sense of purpose based on the workload I am responsible for.,The ability to make decisions based on the trust my leader has given me.,,,Net return on investment.  I want to see the value of plan performance.,No
7,3,5,S,Yes,I understand my contribution and impact to the success of HEB,The importance of the work I do,,,Net return and allocation,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,No,,,Value my input and ideas rather than shrug them off.  Take into account individuals that suffer from High Performance Anxiety and know that it is a disability when interviewing individuals with it.,It would motivate me to work harder.,Net Returns & Allocations,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,ye,think harder about spending decisions,the communication,,,ending balance,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,yes,I work to try to improve productivity and own brand packaging to help partners work more efficient and provide the best products to our customers!,being empowered by my leaders to take on challenges that as an owner are needed to improve the business.,,,knowing how much my money has increased by seeing where my money started vs where it is now.,i think this is something that can be confusing but the explanation on the side makes it helpful to understand
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,yes,I truly take every aspect of my job personally as if I were to make/break it in life based off my decisions and impacts to the company,"I have always loved how we show our years of service on our badges, it shows commitment and I think it helps new Partners feel like they have a resource they can go to. I also think having the business allow us to submit questions and feedback makes me feel like I matter.",,,The financial aspects to see my investments,No
7,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,It makes me want to work harder,"Good benefits, especially vision",,,Net Gain,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,Yes,I'm empowered to make the best decisions for H-E-B within my role.,Getting leadership opportunities within my role.,,,I find the entire document to be important,No
,,,,,,,,,,
,,,,,,,,,,
7,3,1,h,no,,,nothing really,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6,3,1,H,Yes,Positive Anything that you own you take better care of,Almost 27 years HEB employed here you feel you're part of a family. That's I guess that's same as owner.,,,How much money it adds to my retirement. And how much interest the extra money interest it adds on top of that. Just as HEB bottom line is: how much money am I going to have to determine how I live (or die). after I retire.,No
7,3,5,s,yes,Always conscious on how my performance impacts company cost,Saving money in sourcing fixtures for department,,,Allocations to determine where the funding was gained and loss as well as ending balance,No
,,,,,,,,,,
7,3,5,s,no,,,"I'm not really sure anything. Ownership means something different to me than it does to you. I'd change the word ""ownership"" to ""shareholder"".",It doesnt.,"Ending balance, b/c I think that's how much money I'd get if I left.  Not really sure how this PSP works.",not really
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,"Not really, it just feels like an additional retirement account that we get.",,,"I do still feel like an ""owner"" but I don't pay too much attention to the PSP account.  Working for H-E-B already gives me a sense of pride and ownership, the PSP a great reward at the end of my career.","It impacts how I do my job daily, I feel a huge responsibility to manage my job to the best of my ability so that H-E-B can continue to be sucessful.",Ending balance,"No, pretty straight forward for me to read."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,s,Yes,I am more invested in doing quality work and not being wasteful with my time or the company's money,leadership empowers me to make my own path and create my own goals,,,Net return on investment,allocation can be confusing if you don't know how it impacts the end balance
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,"Most times I feel like an owner. Unfortunately when friends ask questions about community events and new store openings, I not knowledgeable like I use to be.",I love my job and I always give an 100 %,My team,,,Net return on investment,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,Take more of a Proactive approach,yes Making sure are customers are taken care of,evetthing goood here,,how much profit that we are making,NO
7,3,6,s,Yes,Positively Impact of decisions to actionable tasks,Impact of decisions,,,New Return on Investment,No confusion
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,Makes me try harder to make the best decisions for the business.  Success means profits.  I realize it all boils down to great partners treating partners and customers with respect and then great business relationships develop.,Believing that heb wants me take care of my customers to the best of my availability.  I don't feel that if I make a wrong decision for the right reason that I will be punished because the customers are why we are here and what we were hired to do.  That's what all partners that work for heb are tasked with doing taking care of our customers to the best or our ability by treating them the best we possibly can.,,,"Yearly growth of my account compared to previous years growth.  Want to figure out trend.  Are we doing better than last year as a company or the last several years.  A chart showing yearly growth, last years grown and how we are trending would be great.",Not really.  I just want more information.  I want to know tha
7,3,1,H,YES,It makes me look at things in different perspective,Everything that HEB provides for it's partners,,,Allocation because it provides how much I made,no
3,3,1,H,yes,it gives me a purpose to do a better job,involvement in weekly department progress,,,net return on investment,allocation units
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,No,,,Wii partner are leaving us cuz of pay we the ones that have be long with heb need to be pay more cuz we are the ones being there all the times,Yes I know that I myself go on a beon to do my best and I love my job don't get me wrong but I'm a widow and have some grandkids living with me I can't afford a apartment on my own we do need more on cost of living,All of the information given to us,No
,,,,,,,,,,
1,3,1,H,YES,HEB is for me in all I do. By doing what I do I feel a part of the HEB family,I can voice my opinion,,,"Beginning, allocation",Nope I understand.
7,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,Value my job more knowing that it affects my current and future financial health,Ideas are heard and I make decisions,,,The ending balance,"No, they have great explanations for each of the values"
7,"I'm corporate, not store",6,s,somewhat,a a little,pride pride for what HEB does in the community.,,,Net return on investment.  This section shows the growth of the company as a whole.  Positive growth means that the company continues to make good decisions and the work and effort of the Partners/Owners is paying off.,Nope.  It does a good job of explaining each section.
7,3,1,H,Yes,Very much,Hard work and dedication,,,,
,,,,,,,,,,
7,3,1,h,yes,I love my job and partners. Makes me always think outside the box to make the store better for the customers and partners.,The way the company appreciates us all around.,,,The investment because we always have to make sure we gain money for the company,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,h,Yes,It makes all the hard work worth it.,The personal relationship I have with store leaders and my RM. The communication I get from the company,,,"The returns and allocations, it helps me to se the impact we have on the company and the benefits we receive because of its success",no
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I work to make HEB a better place to serve our customers,Feeling like not only a team but we are family,,,I think it's important to show what your investment is from starting balance to the ending balance,It's pretty explanatory
1,3,1,h,yes,makes me work harder,the feedback from top store leaders,,,balance ending an dstarting statment,no
,,,,,,,,,,
7,3,6,s,yes,my job performance = better sales/brands,"the direct line i see, the impact i make in the $$ the company makes",,,ending balance,no
1,3,1,H,Yes,"I give 100%, but not only because I am a partner","Making sure that our department, Seafood, looks good and our customers are happy.",,,Net return and final balance,Nothing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Good,NOTHING HAS CHANGED I'VE  ALWAYS BEEN A SELF STARTER AND MOTIVATED PERSON,Nothing really we still have people that make us feel like we are their servants they expecting to do things we as a,,,AS USUAL NOT ENOUGH ROOM ON COMMENTS  TO BRING POINT ACROSS.,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,A lot! I take more pride in my department because it is MY department,"Being able to make choices about what I sell. I have a small store, but I am dialed in on my customers. I know what they want and the price I can get it to them",,,Gains/losses and information on the types of plans,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,h,yes,I have always felt a responsibility to do my best every day,HEB's openness to listen and take feedback from everybody,,,beginning and ending balance,"nothing is confusing,"
,,,,,,,,,,
,,,,,,,,,,
7,3,6,S,Yes and yes,I feel like the decisions I make are taken more seriously because they impact the company that I am an owner of,"The culture of HEB, partners take pride in what they do from stocking shelves to working on the app, more than just a job",,,"Ending balance, it is a representation of how much stock I have, the other sections just bubble up to this",No
,,,,,,,,,,
7,"1,3,4 and 5",5,S,Definitely. yes.,Being an owner of the business is exceptional and provide a super energy to me and other partners.,Impacting the business in everything I do provide for the best performance results to me and other partners.,,,All the details provided are important to me.,Fully understand the details- no issues.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,3,H,I feel like the owner of stock. But not enough to the point that I or others have a say in the companies direction. At least know the possible options.,It makes me proud of our product and workers and makes me want to shine in my performance. I buy H-E-B products and services knowing the hard work it comes from.,Not much besides the partner perks card.,,,Beginning and Ending balance.,
,,,,,,,,,,
7,3,1,h,yes,More drive for results,The HEB culture,,,allocation and ending balance,no
7,0,5,S,yes,It impacts it very much,"work schedule flexibility, decision making, my influence on Partners, partner morale, culture",,,Ending balance and allocation,I do not.  It is very easy to read and appreciate the break down!
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,H,Yes,Empowers me to make decisions and makes me feel valued,The freedom I'm given to figure how to do things and/or improve things,,,Beginning and Ending Balance sections because it allows me to measure how we performed,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,I feel like it makes me think more broadly about the impact of the decisions I make and the potential impact of my actions,Being able to make changes when I see something isn't working,,,"Beginning, net return, allocation, and ending balance",no
,,,,,,,,,,
7,3,5,S,I do! It makes me feel like my effort is directly tied to any bonuses I may get,I feel more valued as an emploee,"trust from leaders, I think compensation is a big one too - I want to know I am getting paid what I deserve",,,Ending balance is what I look at,no
1,3,1,H,No,,,Opinion on psp in person,Yes but others who don’t have psp don’t care.Frustrated,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,H,yes,,,,,,
5,3,1,h,somewhat,much better,we have a say in alot of different areas,,,I like seeing it all,no
7,3,6,s,y,makes me more invested in desiring the best best possible outcome,Hearing news before announced to the public.,,,allocations and ending balance,i don't know
7,3,1,h,no,,,nothing,it wouldn't,Ending balance,no
1,3,1,H,Yes,Makes me want to work harder for my customers,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I like to help my customers so I would say it helps me want to do more.,I don't know right now,,,,
7,3,1,H,yes,I feel a sense of responsibility to our customers,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Central Texas,3,1,H,Yes,Proud Proud to work here.,Partners interaction is good.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,h,yes,I strive to give my best as an owner,Self satisfaction of knowing I do my best,,,allocation Allocations increase the number of units in my account.,no
7,3,5,s,yes,In a positive way,Accountability on saving HEB money by preventing chargebacks,,,Net Return on Investment + Allocation and Ending Balance. I like to see all this information when reviewing the PSP,"No, this PSP breakdown on numbers is straight forward and to the point with the pertinent  information. It is a good format, good info but not overwhelming"
,,,,,,,,,,
7,3,6,S,yes,it doesnt,nothing else,,,ending balance,no
,,,,,,,,,,
7,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Not sure,,,Communication could be better from management to partners. I never am sure what is going on from day to day.,I think I would enjoy my job more and be happier going to work.,The congratulations your work resulted in higher percentages on the bottom line.,Nothing is confusing to me on the statement.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,5,s,Yes,"It makes me want to do good for H-E-B, try my best",Feeling like my work has value,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,Makes me want to perform better,The culture at H‑E‑B,,,Net return on investment,No
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I take more pride in what I do.,I love what I do for my customers and community.,,,Net return,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Tough question probably not because I am PT partner,I will work more efficiently and professionally,Having my sept managers ask me my opinion on wines available in our dept,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Probably not because I am a pastime partner,I work harder and more efficiently and care about H‑E‑B customers.,When my dept managers ask for my opinion about the dept and things to add to customer offerings,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,H,Yes,I am Proud to be a Partner/Ower,All the perks to being an Owner,,,End Balance,no
3,3,1,H,Yes,"I am an older person and have always had a work ethic of earning my pay. In this economy HEB has one of the best PSP for anyone, any age partner.",Upper management.,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,h,Yes,It affects my decision making because it ultimately benefits me for the company to thrive,Nothing,,,Allocation and Ending balance.,
